payment_id,amount,payment_method,failure_reason,bank,previous_successes,previous_failures,attempt_number,customer_age_days,hour,day_of_week,recovery_action,recovered,recovered_amount
PAY_000109,2221.73,NetBanking,insufficient_balance,ICICI,5,2,4,1174,6,0,change_payment_method,0,0.0
PAY_000110,1703.51,NetBanking,blocked_card,Kotak,5,1,3,319,19,1,change_payment_method,0,0.0
PAY_000111,389.55,Card,otp_failure,SBI,7,1,1,1073,6,6,change_payment_method,0,0.0
PAY_000112,1770.1,NetBanking,network_error,Axis,4,0,2,1359,12,1,retry_later,0,0.0
PAY_000113,1897.29,Card,gateway_error,HDFC,2,3,3,1079,19,1,retry_later,0,0.0
PAY_000114,12972.59,Wallet,gateway_error,Kotak,5,3,3,979,12,4,retry_now,1,12972.59
PAY_000115,1550.16,Card,network_error,SBI,6,1,1,411,4,3,retry_later,1,1550.16
PAY_000116,2301.32,Card,gateway_error,Kotak,3,0,4,218,12,1,retry_now,1,2301.32
PAY_000117,1758.52,Wallet,network_error,ICICI,5,2,1,688,18,6,retry_later,0,0.0
PAY_000118,709.85,UPI,blocked_card,ICICI,5,1,4,1270,4,0,retry_now,0,0.0
PAY_000119,4510.93,UPI,gateway_error,ICICI,5,1,4,290,10,3,payment_link,1,4510.93
PAY_000120,3299.57,UPI,insufficient_balance,SBI,6,1,2,1043,18,6,change_payment_method,0,0.0
PAY_000121,3404.41,UPI,insufficient_balance,ICICI,4,2,2,860,7,1,retry_later,0,0.0
PAY_000122,873.48,Card,network_error,Kotak,4,2,4,668,13,3,retry_later,0,0.0
PAY_000123,5553.79,UPI,otp_failure,Kotak,7,0,1,739,14,3,payment_link,0,0.0
PAY_000124,589.05,NetBanking,otp_failure,Kotak,7,1,4,1297,22,2,no_action,0,0.0
PAY_000125,2891.37,NetBanking,gateway_error,Axis,6,0,2,954,9,3,retry_now,1,2891.37
PAY_000126,10429.2,UPI,insufficient_balance,Kotak,5,1,2,116,21,2,retry_now,0,0.0
PAY_000127,818.58,NetBanking,gateway_error,ICICI,3,0,1,912,5,5,retry_later,1,818.58
PAY_000128,1149.36,NetBanking,gateway_error,Axis,6,0,3,569,12,3,retry_now,1,1149.36
PAY_000129,1958.08,Wallet,network_error,Axis,5,3,4,1257,13,5,payment_link,1,1958.08
PAY_000130,1208.6,Wallet,otp_failure,Axis,6,0,4,1149,8,3,retry_now,1,1208.6
PAY_000131,522.94,UPI,gateway_error,Axis,4,0,1,437,9,2,payment_link,0,0.0
PAY_000132,1909.98,Card,blocked_card,SBI,12,0,4,680,0,1,retry_later,0,0.0
PAY_000133,772.91,Card,network_error,Kotak,5,1,2,1109,12,1,no_action,1,772.91
PAY_000134,2640.9,Wallet,gateway_error,SBI,4,0,1,631,13,1,retry_now,1,2640.9
PAY_000135,866.5,Wallet,gateway_error,HDFC,8,2,2,723,18,2,retry_later,1,866.5
PAY_000136,6247.57,Card,gateway_error,SBI,3,0,1,880,1,3,payment_link,1,6247.57
PAY_000137,966.23,UPI,gateway_error,Axis,5,0,3,842,22,0,payment_link,0,0.0
PAY_000138,1397.38,Card,blocked_card,Kotak,7,2,2,329,5,3,change_payment_method,0,0.0
PAY_000139,3466.2,Card,insufficient_balance,Kotak,3,3,1,554,3,4,retry_later,0,0.0
PAY_000140,675.4,NetBanking,blocked_card,ICICI,5,2,1,636,21,4,payment_link,0,0.0
PAY_000141,2168.88,Card,insufficient_balance,SBI,5,0,1,961,8,5,retry_now,1,2168.88
PAY_000142,5144.66,Wallet,network_error,Kotak,4,2,2,401,10,0,retry_now,0,0.0
PAY_000143,499.7,UPI,insufficient_balance,HDFC,3,1,1,619,8,4,payment_link,1,499.7
PAY_000144,2095.83,Card,network_error,HDFC,4,0,4,1322,16,3,retry_later,0,0.0
PAY_000145,2225.88,NetBanking,insufficient_balance,SBI,2,2,1,946,7,6,retry_now,1,2225.88
PAY_000146,3379.42,Wallet,blocked_card,ICICI,4,3,3,664,1,2,retry_now,0,0.0
PAY_000147,672.12,Wallet,otp_failure,HDFC,5,2,3,435,15,6,no_action,1,672.12
PAY_000148,628.69,NetBanking,otp_failure,ICICI,7,1,3,197,0,5,retry_later,1,628.69
PAY_000149,2745.05,Wallet,network_error,SBI,4,2,4,860,4,3,no_action,1,2745.05
PAY_000150,2292.93,NetBanking,gateway_error,Kotak,5,3,1,674,23,5,retry_now,1,2292.93
PAY_000151,2209.22,Wallet,insufficient_balance,ICICI,4,2,2,1444,12,5,payment_link,1,2209.22
PAY_000152,2385.49,Wallet,blocked_card,HDFC,1,1,1,718,10,1,retry_later,0,0.0
PAY_000153,1049.41,Wallet,blocked_card,ICICI,10,2,1,395,16,3,change_payment_method,1,1049.41
PAY_000154,2177.22,Wallet,insufficient_balance,Kotak,5,3,3,595,14,4,retry_now,0,0.0
PAY_000155,2285.77,NetBanking,otp_failure,Kotak,7,5,1,446,3,6,retry_later,1,2285.77
PAY_000156,1020.98,Card,otp_failure,HDFC,5,0,3,460,2,2,retry_later,0,0.0
PAY_000157,8043.5,Wallet,network_error,ICICI,6,0,3,31,19,0,retry_later,0,0.0
PAY_000158,2641.41,NetBanking,otp_failure,ICICI,3,1,2,657,1,5,retry_later,1,2641.41
PAY_000159,697.12,NetBanking,blocked_card,Axis,5,2,1,1322,5,5,retry_later,1,697.12
PAY_000160,3057.16,NetBanking,gateway_error,HDFC,2,1,2,550,21,1,retry_later,1,3057.16
PAY_000161,829.03,Card,gateway_error,ICICI,4,1,2,607,0,0,retry_now,0,0.0
PAY_000162,3393.67,UPI,otp_failure,SBI,3,3,2,290,11,2,no_action,1,3393.67
PAY_000163,4568.21,NetBanking,blocked_card,Axis,4,3,2,833,22,2,retry_later,0,0.0
PAY_000164,937.72,NetBanking,otp_failure,HDFC,5,3,2,460,23,6,retry_later,1,937.72
PAY_000165,3907.69,NetBanking,gateway_error,Kotak,5,2,1,680,2,0,retry_now,0,0.0
PAY_000166,2515.49,Card,gateway_error,HDFC,5,0,2,70,16,2,retry_later,1,2515.49
PAY_000167,3489.97,Wallet,otp_failure,SBI,3,2,1,174,20,2,no_action,1,3489.97
PAY_000168,8245.59,Card,gateway_error,SBI,5,1,4,992,6,0,retry_now,0,0.0
PAY_000169,1485.77,NetBanking,gateway_error,Kotak,8,2,4,1178,0,6,retry_now,0,0.0
PAY_000170,989.31,UPI,blocked_card,Kotak,7,0,2,1398,4,0,retry_now,0,0.0
PAY_000171,887.48,NetBanking,otp_failure,Kotak,3,2,3,272,2,2,retry_now,0,0.0
PAY_000172,941.38,Wallet,otp_failure,Axis,3,3,2,1495,1,4,retry_later,0,0.0
PAY_000173,1699.89,UPI,network_error,SBI,9,3,4,1147,7,2,change_payment_method,1,1699.89
PAY_000174,2375.4,UPI,otp_failure,Kotak,4,0,1,608,4,2,retry_now,1,2375.4
PAY_000175,2256.01,Card,network_error,SBI,3,3,4,1463,11,0,retry_now,0,0.0
PAY_000176,3504.3,Card,otp_failure,Axis,2,0,4,903,7,4,retry_now,0,0.0
PAY_000177,1826.95,Wallet,otp_failure,Axis,2,0,4,249,21,4,change_payment_method,0,0.0
PAY_000178,5783.86,Card,otp_failure,SBI,7,0,1,1491,4,3,retry_later,1,5783.86
PAY_000179,1463.04,Wallet,insufficient_balance,Kotak,2,1,1,976,3,4,retry_now,0,0.0
PAY_000180,15932.8,UPI,insufficient_balance,HDFC,7,3,4,188,1,1,retry_now,0,0.0
PAY_000181,2982.55,UPI,gateway_error,ICICI,4,1,1,1375,13,5,retry_later,1,2982.55
PAY_000182,910.76,UPI,blocked_card,SBI,8,1,3,673,7,2,retry_now,0,0.0
PAY_000183,767.61,Wallet,insufficient_balance,Axis,14,2,3,749,12,2,retry_later,1,767.61
PAY_000184,2659.72,Card,gateway_error,Kotak,4,2,1,985,11,0,payment_link,1,2659.72
PAY_000185,1512.06,Card,insufficient_balance,ICICI,6,3,1,637,20,2,payment_link,0,0.0
PAY_000186,3200.94,Card,blocked_card,SBI,7,1,4,1388,12,5,retry_later,0,0.0
PAY_000187,2640.15,NetBanking,otp_failure,HDFC,7,3,3,930,18,1,no_action,0,0.0
PAY_000188,1705.71,UPI,gateway_error,HDFC,6,3,3,1335,1,4,no_action,0,0.0
PAY_000189,918.34,UPI,network_error,Axis,8,0,2,897,12,2,retry_now,1,918.34
PAY_000190,538.14,NetBanking,network_error,Axis,4,3,1,1283,19,3,payment_link,1,538.14
PAY_000191,1264.95,UPI,gateway_error,Axis,4,1,2,98,21,2,payment_link,1,1264.95
PAY_000192,3587.17,UPI,network_error,SBI,3,1,3,793,20,6,payment_link,1,3587.17
PAY_000193,2145.82,NetBanking,otp_failure,HDFC,3,1,3,388,3,3,retry_now,0,0.0
PAY_000194,667.41,UPI,network_error,HDFC,6,3,4,346,13,6,change_payment_method,0,0.0
PAY_000195,2076.72,Card,insufficient_balance,Axis,5,4,2,1232,14,3,no_action,0,0.0
PAY_000196,2460.83,NetBanking,network_error,Axis,8,2,2,310,14,5,retry_now,0,0.0
PAY_000197,891.51,UPI,blocked_card,Kotak,7,1,4,1004,5,5,payment_link,0,0.0
PAY_000198,2044.65,Card,gateway_error,HDFC,5,1,2,544,0,4,payment_link,1,2044.65
PAY_000199,1894.23,Wallet,gateway_error,Axis,5,2,1,356,9,3,retry_now,1,1894.23
PAY_000200,724.6,UPI,insufficient_balance,Axis,5,3,4,1133,2,3,retry_later,0,0.0
PAY_000201,2407.22,NetBanking,gateway_error,Axis,4,1,3,985,1,2,change_payment_method,1,2407.22
PAY_000202,2831.69,Card,insufficient_balance,Kotak,2,2,3,997,10,5,retry_later,1,2831.69
PAY_000203,4300.3,Wallet,network_error,HDFC,1,1,4,569,5,3,retry_later,0,0.0
PAY_000204,4200.85,Wallet,otp_failure,HDFC,4,3,4,810,16,4,change_payment_method,1,4200.85
PAY_000205,600.56,UPI,insufficient_balance,HDFC,5,1,3,259,18,0,retry_later,0,0.0
PAY_000206,853.84,Wallet,otp_failure,Kotak,2,1,3,1395,18,3,retry_now,0,0.0
PAY_000207,2729.92,NetBanking,insufficient_balance,SBI,4,1,3,1260,5,2,retry_now,0,0.0
PAY_000208,2727.19,Wallet,gateway_error,Kotak,5,1,1,1049,9,3,change_payment_method,1,2727.19
PAY_000209,2729.95,UPI,otp_failure,ICICI,6,2,1,551,9,2,retry_now,0,0.0
PAY_000210,39426.17,Wallet,network_error,Kotak,7,3,4,1110,23,6,retry_later,0,0.0
PAY_000211,2854.67,UPI,network_error,ICICI,9,1,3,1237,21,6,change_payment_method,1,2854.67
PAY_000212,4484.81,Wallet,blocked_card,Axis,5,3,2,1118,9,1,retry_later,0,0.0
PAY_000213,3878.49,Card,blocked_card,ICICI,3,1,2,607,0,4,retry_now,0,0.0
PAY_000214,3044.56,UPI,insufficient_balance,Kotak,5,0,2,622,14,3,retry_later,0,0.0
PAY_000215,1404.99,NetBanking,blocked_card,SBI,5,4,4,708,1,5,change_payment_method,0,0.0
PAY_000216,3318.19,NetBanking,otp_failure,HDFC,3,3,1,245,18,0,change_payment_method,1,3318.19
PAY_000217,974.32,Wallet,gateway_error,Kotak,6,1,4,1296,17,5,payment_link,0,0.0
PAY_000218,1495.99,Card,otp_failure,HDFC,5,4,2,1440,22,4,retry_now,0,0.0
PAY_000219,1226.24,Wallet,gateway_error,ICICI,12,1,3,1496,4,2,retry_now,0,0.0
PAY_000220,1930.43,Wallet,otp_failure,Axis,4,4,2,884,7,6,change_payment_method,0,0.0
PAY_000221,11518.7,Card,otp_failure,Axis,3,1,2,335,5,5,payment_link,0,0.0
PAY_000222,405.93,UPI,insufficient_balance,Kotak,6,3,3,1431,14,4,payment_link,0,0.0
PAY_000223,3130.69,NetBanking,otp_failure,ICICI,4,0,4,236,6,5,no_action,1,3130.69
PAY_000224,497.62,Card,blocked_card,ICICI,5,1,2,939,16,5,retry_now,0,0.0
PAY_000225,1239.49,Wallet,insufficient_balance,HDFC,2,3,3,835,22,6,retry_later,0,0.0
PAY_000226,4320.65,UPI,network_error,ICICI,10,3,1,644,23,6,retry_later,0,0.0
PAY_000227,1903.45,Wallet,gateway_error,SBI,3,2,1,835,13,0,change_payment_method,1,1903.45
PAY_000228,763.42,UPI,blocked_card,Axis,3,1,4,201,13,3,retry_later,0,0.0
PAY_000229,1020.2,NetBanking,blocked_card,SBI,7,1,4,52,10,3,retry_now,1,1020.2
PAY_000230,3114.05,NetBanking,network_error,SBI,2,2,3,769,2,2,change_payment_method,1,3114.05
PAY_000231,1007.98,UPI,otp_failure,HDFC,5,2,2,874,9,5,retry_now,0,0.0
PAY_000232,2149.88,NetBanking,otp_failure,ICICI,3,1,4,1165,2,4,retry_later,1,2149.88
PAY_000233,1875.18,Wallet,gateway_error,HDFC,1,0,2,667,23,0,retry_later,1,1875.18
PAY_000234,1073.54,UPI,otp_failure,Axis,5,2,1,106,8,1,change_payment_method,1,1073.54
PAY_000235,10048.27,Wallet,insufficient_balance,HDFC,5,1,4,1071,1,4,payment_link,0,0.0
PAY_000236,3002.3,UPI,network_error,SBI,3,1,1,646,4,0,retry_now,1,3002.3
PAY_000237,357.77,Wallet,otp_failure,HDFC,9,0,3,83,6,3,no_action,0,0.0
PAY_000238,2098.89,NetBanking,gateway_error,ICICI,6,3,1,202,18,3,payment_link,1,2098.89
PAY_000239,1064.83,Card,otp_failure,HDFC,3,1,4,955,14,1,payment_link,1,1064.83
PAY_000240,3575.81,Wallet,gateway_error,ICICI,4,0,1,292,11,2,payment_link,1,3575.81
PAY_000241,959.09,UPI,network_error,SBI,6,1,4,627,9,6,change_payment_method,0,0.0
PAY_000242,1649.47,NetBanking,network_error,ICICI,2,2,1,711,0,2,no_action,0,0.0
PAY_000243,2708.07,UPI,otp_failure,ICICI,5,1,1,150,10,5,no_action,0,0.0
PAY_000244,3614.12,Wallet,gateway_error,ICICI,5,0,2,1110,13,5,no_action,0,0.0
PAY_000245,692.12,UPI,network_error,ICICI,4,2,2,832,17,1,retry_later,1,692.12
PAY_000246,1383.54,UPI,gateway_error,Axis,4,2,1,234,17,6,no_action,1,1383.54
PAY_000247,1236.5,Wallet,insufficient_balance,Kotak,4,2,4,800,8,4,change_payment_method,0,0.0
PAY_000248,1072.06,NetBanking,network_error,Axis,5,1,3,918,13,5,payment_link,0,0.0
PAY_000249,7423.18,NetBanking,insufficient_balance,HDFC,4,1,4,1331,8,4,payment_link,0,0.0
PAY_000250,2499.85,Wallet,gateway_error,Axis,3,2,4,585,23,6,retry_later,0,0.0
PAY_000251,659.38,NetBanking,gateway_error,Axis,8,0,4,1066,19,3,payment_link,0,0.0
PAY_000252,3767.96,Card,network_error,ICICI,3,2,4,231,0,0,retry_now,0,0.0
PAY_000253,9874.64,UPI,gateway_error,HDFC,4,2,1,1061,13,0,change_payment_method,1,9874.64
PAY_000254,4129.75,Wallet,otp_failure,HDFC,6,1,2,572,12,2,payment_link,1,4129.75
PAY_000255,536.2,Card,blocked_card,SBI,8,3,3,63,12,4,payment_link,0,0.0
PAY_000256,1227.35,UPI,network_error,ICICI,3,0,4,1298,15,2,retry_later,0,0.0
PAY_000257,4981.71,Wallet,insufficient_balance,Axis,5,1,4,601,15,3,retry_later,1,4981.71
PAY_000258,1026.45,NetBanking,gateway_error,SBI,3,0,2,1284,3,2,change_payment_method,1,1026.45
PAY_000259,2578.74,Wallet,insufficient_balance,SBI,3,0,3,320,19,3,retry_now,0,0.0
PAY_000260,3360.04,Wallet,otp_failure,Axis,5,1,2,247,6,0,no_action,0,0.0
PAY_000261,861.31,UPI,otp_failure,HDFC,4,1,1,997,6,2,retry_now,0,0.0
PAY_000262,1723.96,UPI,network_error,ICICI,6,1,1,817,9,1,retry_now,1,1723.96
PAY_000263,135.23,UPI,gateway_error,ICICI,7,2,4,1174,20,0,retry_later,0,0.0
PAY_000264,796.71,Card,gateway_error,Axis,10,1,3,108,15,5,no_action,1,796.71
PAY_000265,1477.26,NetBanking,otp_failure,ICICI,2,0,1,560,0,5,payment_link,1,1477.26
PAY_000266,666.32,Wallet,insufficient_balance,Kotak,5,2,1,387,9,1,retry_later,0,0.0
PAY_000267,6673.7,Wallet,blocked_card,SBI,8,2,4,739,22,4,change_payment_method,0,0.0
PAY_000268,575.87,NetBanking,blocked_card,SBI,6,1,4,1004,9,1,retry_later,0,0.0
PAY_000269,1271.52,Wallet,blocked_card,Kotak,5,0,2,1045,8,4,change_payment_method,1,1271.52
PAY_000270,2007.39,UPI,insufficient_balance,ICICI,3,1,4,62,22,4,retry_now,0,0.0
PAY_000271,5727.41,Wallet,blocked_card,HDFC,1,2,2,1467,11,0,change_payment_method,0,0.0
PAY_000272,573.24,NetBanking,otp_failure,Kotak,2,1,3,1182,2,4,retry_now,0,0.0
PAY_000273,4584.93,Card,otp_failure,Kotak,5,4,2,797,6,3,change_payment_method,1,4584.93
